RAG_Type,Model_Type,Precision,Recall,F1,BLEU,METEOR,ROUGE-1,ROUGE-2,ROUGE-L
SimpleRAG,deepseek-r1:latest,0.8089,0.8568,0.8322,0.1418,0.4256,0.1957,0.1022,0.1594
SimpleRAG,deepseek-r1:latest,0.7948,0.9163,0.8512,0.0836,0.3652,0.1509,0.101,0.1083
SimpleRAG,deepseek-r1:latest,0.7555,0.8227,0.7877,0.0689,0.2228,0.1124,0.0179,0.0888
SimpleRAG,deepseek-r1:latest,0.7743,0.8386,0.8052,0.0726,0.2959,0.1322,0.072,0.1157
SimpleRAG,deepseek-r1:latest,0.7961,0.8714,0.8321,0.098,0.3665,0.1606,0.0782,0.1119
AdaptiveRetrieval,deepseek-r1:latest,0.8161,0.8538,0.8345,0.1644,0.4256,0.2183,0.1057,0.1834
AdaptiveRetrieval,deepseek-r1:latest,0.8251,0.9116,0.8662,0.1546,0.4929,0.2541,0.1836,0.1824
AdaptiveRetrieval,deepseek-r1:latest,0.7885,0.8296,0.8085,0.1129,0.2814,0.1532,0.0325,0.1129
AdaptiveRetrieval,deepseek-r1:latest,0.7817,0.8427,0.8111,0.0818,0.2983,0.1442,0.082,0.1254
AdaptiveRetrieval,deepseek-r1:latest,0.8035,0.8755,0.838,0.1238,0.3685,0.1944,0.0568,0.1379
SemanticRAG,deepseek-r1:latest,0.8021,0.8454,0.8232,0.1288,0.392,0.2,0.1181,0.1517
SemanticRAG,deepseek-r1:latest,0.8051,0.8966,0.8484,0.1163,0.3957,0.2022,0.1186,0.1348
SemanticRAG,deepseek-r1:latest,0.7687,0.8219,0.7944,0.0887,0.263,0.1379,0.0442,0.0878
SemanticRAG,deepseek-r1:latest,0.7789,0.8716,0.8226,0.0717,0.3247,0.1385,0.0818,0.1059
SemanticRAG,deepseek-r1:latest,0.787,0.8741,0.8283,0.0894,0.2856,0.1473,0.0525,0.1188
SelfRAG,deepseek-r1:latest,0.7748,0.8376,0.805,0.119,0.3738,0.1927,0.087,0.1395
SelfRAG,deepseek-r1:latest,0.8163,0.8733,0.8438,0.1373,0.4145,0.2349,0.1149,0.1678
SelfRAG,deepseek-r1:latest,0.7591,0.8302,0.7931,0.0751,0.2238,0.118,0.0178,0.0708
SelfRAG,deepseek-r1:latest,0.7862,0.8584,0.8207,0.0889,0.3577,0.1624,0.0918,0.1168
